epoch,TRA,DET,LNK
0,0.9783353784961706,0.9854368932038835,0.9301022090339598
1,0.9986882748698853,1.0,0.9897790966040224
2,0.997968941734016,1.0,0.9841740850642928
3,0.998603647442136,1.0,0.9891196834817013
4,0.997207294884272,0.9990291262135922,0.9848334981866139
5,0.9815089070367706,0.987378640776699,0.9416419386745796
6,0.9953878051876613,0.9990291262135922,0.9706561160567095
7,0.998857529725384,1.0,0.9910979228486647
8,0.998857529725384,1.0,0.9910979228486647
9,0.998984470867008,1.0,0.9920870425321464
10,0.9913256886556933,0.9990291262135922,0.9390042861852951
11,0.9985613337282613,1.0,0.9887899769205407
12,0.9977573731646426,0.9990291262135922,0.9891196834817013
13,0.99873058858376,1.0,0.990108803165183
14,0.9910718063724453,0.996116504854369,0.9568084404879658
15,0.9965302754622773,0.9980582524271845,0.9861523244312562
16,0.9984343925866374,1.0,0.987800857237059
17,0.9992806668641306,1.0,0.9943949884602704
18,0.8808022680150637,0.912621359223301,0.6646884272997033
19,0.9990690982947573,1.0,0.9927464556544675
20,0.9358100960521305,0.9514563106796117,0.8295417078799868
21,0.9907756103753227,0.9951456310679612,0.961094625783053
22,0.994668472051792,0.9970873786407767,0.9782393669634025
23,0.9988152160115094,1.0,0.9907682162875041
24,0.998857529725384,1.0,0.9910979228486647
25,0.9793509076291627,0.9864077669902913,0.9314210352786021
26,0.999111412008632,1.0,0.9930761622156281
27,0.7123513730800153,0.7572815533980582,0.40718760303330037
28,0.9856133372826132,0.9951456310679612,0.9208704253214639
29,0.9946261583379173,0.9970873786407767,0.977909660402242
30,0.997080353742648,1.0,0.9772502472799208
31,0.9976727457368934,1.0,0.9818661391361688
32,0.9862480429907333,0.9922330097087378,0.9455984174085065
33,0.9777853002157999,0.9922330097087378,0.8796571051763931
34,0.9961494520374053,0.9980582524271845,0.9831849653808111
35,0.9944992171962933,0.9980582524271845,0.9703264094955489
36,0.9922565903609359,0.9980582524271845,0.9528519617540389
37,0.9648796174840266,0.9864077669902913,0.818661391361688
38,0.9988998434392586,1.0,0.9914276294098252
39,0.9983074514450133,1.0,0.9868117375535773
40,0.9918757669360639,0.9990291262135922,0.9432904714803825
41,0.998349765158888,1.0,0.9871414441147379
42,0.9972496085981467,1.0,0.9785690735245631
43,0.999111412008632,1.0,0.9930761622156281
44,0.9975458045952693,0.9990291262135922,0.9874711506758984
45,0.997080353742648,0.9990291262135922,0.9838443785031322
46,0.9986882748698853,1.0,0.9897790966040224
47,0.99873058858376,1.0,0.990108803165183
48,0.996953412601024,0.9990291262135922,0.9828552588196505
49,0.99936529429188,1.0,0.9950544015825915
50,0.99809588287564,1.0,0.9851632047477745
51,0.9973765497397706,1.0,0.9795581932080448
52,0.9990690982947573,1.0,0.9927464556544675
53,0.9989421571531333,1.0,0.9917573359709858
54,0.9955993737570347,0.9990291262135922,0.9723046488625123
55,0.9963610206067787,0.9990291262135922,0.9782393669634025
56,0.9984343925866374,1.0,0.987800857237059
57,0.9971649811703973,1.0,0.977909660402242
58,0.9950916091905386,0.9980582524271845,0.9749423013517969
59,0.9982651377311387,1.0,0.9864820309924167
60,0.9976304320230187,1.0,0.9815364325750082
61,0.998476706300512,1.0,0.9881305637982196
62,0.9986882748698853,1.0,0.9897790966040224
63,0.9942453349130453,0.9980582524271845,0.9683481701285855
64,0.998222824017264,1.0,0.9861523244312562
65,0.9982651377311387,1.0,0.9864820309924167
66,0.9988998434392586,1.0,0.9914276294098252
67,0.9988152160115094,1.0,0.9907682162875041
68,0.997080353742648,0.9980582524271845,0.9904385097263435
69,0.9930605509245547,0.9980582524271845,0.9591163864160897
70,0.9978843143062667,1.0,0.9835146719419716
71,0.995049295476664,0.9980582524271845,0.9746125947906363
72,0.998857529725384,1.0,0.9910979228486647
73,0.998857529725384,1.0,0.9910979228486647
74,0.9989421571531333,1.0,0.9917573359709858
75,0.99873058858376,1.0,0.990108803165183
76,0.998603647442136,1.0,0.9891196834817013
77,0.9989421571531333,1.0,0.9917573359709858
78,0.997968941734016,1.0,0.9841740850642928
79,0.9983920788727627,1.0,0.9874711506758984
80,0.996572589176152,0.9980582524271845,0.9864820309924167
81,0.9986459611560107,1.0,0.9894493900428618
82,0.9988152160115094,1.0,0.9907682162875041
83,0.9983920788727627,1.0,0.9874711506758984
84,0.998603647442136,1.0,0.9891196834817013
85,0.996572589176152,0.9980582524271845,0.9864820309924167
86,0.9988152160115094,1.0,0.9907682162875041
87,0.9985190200143866,1.0,0.9884602703593801
88,0.9985190200143866,1.0,0.9884602703593801
89,0.9988152160115094,1.0,0.9907682162875041
90,0.9988152160115094,1.0,0.9907682162875041
91,0.9989421571531333,1.0,0.9917573359709858
92,0.9985613337282613,1.0,0.9887899769205407
93,0.9984343925866374,1.0,0.987800857237059
94,0.998222824017264,1.0,0.9861523244312562
95,0.9985190200143866,1.0,0.9884602703593801
96,0.9988152160115094,1.0,0.9907682162875041
97,0.9985190200143866,1.0,0.9884602703593801
98,0.9988152160115094,1.0,0.9907682162875041
99,0.9988152160115094,1.0,0.9907682162875041
