epoch,TRA,DET,LNK
0,0.9914949435111919,0.9970873786407767,0.9535113748763601
1,0.9985190200143866,1.0,0.9884602703593801
2,0.998349765158888,1.0,0.9871414441147379
3,0.9989421571531333,1.0,0.9917573359709858
4,0.997588118309144,1.0,0.9812067260138477
5,0.997588118309144,1.0,0.9812067260138477
6,0.9983074514450133,1.0,0.9868117375535773
7,0.9976727457368934,1.0,0.9818661391361688
8,0.9972919223120214,1.0,0.9788987800857237
9,0.9976727457368934,1.0,0.9818661391361688
10,0.996953412601024,1.0,0.9762611275964391
11,0.9992806668641306,1.0,0.9943949884602704
12,0.9963610206067787,1.0,0.9716452357401912
13,0.9948800406211653,1.0,0.9601055060995713
14,0.9865865527017307,0.996116504854369,0.9218595450049456
15,0.9949646680489147,0.9990291262135922,0.9673590504451038
16,0.9785892607794187,0.9922330097087378,0.8859215298384437
17,0.9920450217915626,0.9951456310679612,0.9709858226178701
18,0.9952608640460373,0.9990291262135922,0.9696669963732278
19,0.9980112554478907,1.0,0.9845037916254533
20,0.9918757669360639,0.9970873786407767,0.9564787339268052
21,0.9980112554478907,1.0,0.9845037916254533
22,0.9896754538145813,0.9990291262135922,0.926145730300033
23,0.9941183937714213,0.9990291262135922,0.9607649192218926
24,0.9724114585537172,0.983495145631068,0.897131552917903
25,0.9561206787119706,0.9669902912621359,0.8822947576656776
26,0.9896754538145813,0.9970873786407767,0.9393339927464557
27,0.998222824017264,1.0,0.9861523244312562
28,0.9932298057800533,0.9980582524271845,0.960435212660732
29,0.9968264714594,1.0,0.9752720079129574
30,0.9931874920661786,0.9990291262135922,0.9535113748763601
31,0.9911141200863199,0.9970873786407767,0.950544015825915
32,0.9834130241611306,0.9932038834951457,0.9169139465875371
33,0.9920450217915626,0.9990291262135922,0.9446092977250248
34,0.9793932213430373,0.9883495145631068,0.9185624793933399
35,0.9969110988871493,0.9980582524271845,0.9891196834817013
36,0.9953454914737867,0.9990291262135922,0.9703264094955489
37,0.997207294884272,1.0,0.9782393669634025
38,0.9783776922100452,0.987378640776699,0.9172436531486976
39,0.9745694579613252,0.987378640776699,0.8875700626442466
40,0.9174882579443998,0.9475728155339805,0.7131552917903066
41,0.9295053526848052,0.9553398058252427,0.7540389053742169
42,0.9692379300131172,0.9864077669902913,0.8526211671612265
43,0.989717767528456,0.9970873786407767,0.9396636993076162
44,0.9841746710108746,0.9951456310679612,0.9096604022420046
45,0.9681800871662506,0.9883495145631068,0.8311902406857896
46,0.9973765497397706,1.0,0.9795581932080448
47,0.9938221977742987,0.9980582524271845,0.9650511045169798
48,0.9934836880633013,0.9970873786407767,0.9690075832509067
49,0.9501967587695173,0.9737864077669903,0.7899769205407188
50,0.9927220412135573,0.9970873786407767,0.9630728651500164
51,0.9804933779037787,0.9922330097087378,0.9007583250906693
52,0.992764354927432,0.9980582524271845,0.9568084404879658
53,0.976135065374688,0.9912621359223301,0.8733926805143423
54,0.9878982778318453,0.996116504854369,0.9320804484009232
55,0.9908179240891973,0.9990291262135922,0.9350478074513683
56,0.994541530910168,0.9980582524271845,0.9706561160567095
57,0.9950916091905386,0.9970873786407767,0.9815364325750082
58,0.9967418440316507,0.9980582524271845,0.987800857237059
59,0.9794355350569119,0.9922330097087378,0.8925156610616551
60,0.9798586721956586,0.9922330097087378,0.8958127266732608
61,0.9868827486988533,0.9970873786407767,0.9175733597098582
62,0.996064824609656,0.9980582524271845,0.9825255522584899
63,0.9926797274996827,0.9970873786407767,0.962743158588856
64,0.9890407481064613,0.996116504854369,0.9409825255522585
65,0.9760927516608132,0.9912621359223301,0.8730629739531817
66,0.985655650996488,0.9941747572815534,0.9277942631058358
67,0.993272119493928,0.9970873786407767,0.9673590504451038
68,0.9950916091905386,0.9980582524271845,0.9749423013517969
69,0.9805356916176533,0.9922330097087378,0.9010880316518298
70,0.9937375703465493,0.9980582524271845,0.9643916913946587
71,0.9827360047391359,0.9932038834951457,0.911638641608968
72,0.9895485126729573,0.996116504854369,0.9449390042861853
73,0.9915795709389413,0.9970873786407767,0.9541707879986812
74,0.9895061989590827,0.9970873786407767,0.9380151665018134
75,0.994541530910168,0.9980582524271845,0.9706561160567095
76,0.9901832183810773,0.9970873786407767,0.9432904714803825
77,0.9930182372106799,0.9970873786407767,0.9653808110781404
78,0.9906909829475733,0.996116504854369,0.9538410814375206
79,0.9844285532941226,0.9893203883495145,0.9512034289482361
80,0.988194473828968,0.9941747572815534,0.9475766567754699
81,0.9815089070367706,0.987378640776699,0.9416419386745796
82,0.978039182499048,0.987378640776699,0.9146060006594131
83,0.983751533872128,0.9893203883495145,0.945928123969667
84,0.9826513773113866,0.9883495145631068,0.9439498846027036
85,0.9842169847247493,0.9902912621359223,0.9429607649192219
86,0.983243769305632,0.9893203883495145,0.9419716452357402
87,0.9835822790166293,0.9893203883495145,0.9446092977250248
88,0.983751533872128,0.9893203883495145,0.945928123969667
89,0.9896754538145813,0.9951456310679612,0.9525222551928784
90,0.9915372572250667,0.996116504854369,0.960435212660732
91,0.990987178944696,0.996116504854369,0.9561490273656446
92,0.9914103160834427,0.996116504854369,0.9594460929772503
93,0.992129649219312,0.9970873786407767,0.9584569732937686
94,0.9911987475140693,0.9970873786407767,0.9512034289482361
95,0.9925527863580587,0.9970873786407767,0.9617540389053743
96,0.9926797274996827,0.9980582524271845,0.9561490273656446
97,0.9904371006643253,0.996116504854369,0.9518628420705572
98,0.9903101595227013,0.996116504854369,0.9508737223870755
99,0.9903101595227013,0.996116504854369,0.9508737223870755
