epoch,TRA,DET,LNK
0,0.99174882579444,0.9970873786407767,0.9554896142433235
1,0.9980535691617654,1.0,0.9848334981866139
2,0.9981381965895146,1.0,0.985492911308935
3,0.9984343925866374,1.0,0.987800857237059
4,0.9983920788727627,1.0,0.9874711506758984
5,0.99873058858376,1.0,0.990108803165183
6,0.9983920788727627,1.0,0.9874711506758984
7,0.997334236025896,1.0,0.9792284866468842
8,0.9983920788727627,1.0,0.9874711506758984
9,0.9990267845808827,1.0,0.9924167490933069
10,0.9947107857656666,0.9990291262135922,0.9653808110781404
11,0.9911564338001947,0.9980582524271845,0.9442795911638642
12,0.9986882748698853,1.0,0.9897790966040224
13,0.9900562772394533,0.9990291262135922,0.9291130893504781
14,0.9957686286125333,0.9990291262135922,0.9736234751071546
15,0.9936106292049253,0.9990291262135922,0.9568084404879658
16,0.9970380400287733,1.0,0.9769205407187603
17,0.9990267845808827,1.0,0.9924167490933069
18,0.9975034908813947,0.9990291262135922,0.9871414441147379
19,0.9955147463292853,1.0,0.9650511045169798
20,0.9454576228155546,0.9640776699029127,0.8189910979228486
21,0.9964033343206533,0.9980582524271845,0.9851632047477745
22,0.9865442389878559,0.9912621359223301,0.9545004945598418
23,0.996445648034528,1.0,0.9723046488625123
24,0.9677992637413786,0.9776699029126213,0.9007583250906693
25,0.9972919223120214,1.0,0.9788987800857237
26,0.9969957263148986,1.0,0.9765908341575997
27,0.998603647442136,1.0,0.9891196834817013
28,0.9975458045952693,1.0,0.9808770194526871
29,0.9964879617484027,0.9990291262135922,0.9792284866468842
30,0.9942030211991707,1.0,0.9548302011210024
31,0.9988152160115094,1.0,0.9907682162875041
32,0.9942030211991707,0.9980582524271845,0.9680184635674249
33,0.9967418440316507,0.9980582524271845,0.987800857237059
34,0.9952608640460373,0.9980582524271845,0.9762611275964391
35,0.99492235433504,0.9980582524271845,0.9736234751071546
36,0.9965302754622773,0.9980582524271845,0.9861523244312562
37,0.9874751406930986,0.9970873786407767,0.9221892515661062
38,0.9408031142893412,0.9524271844660194,0.8618529508737224
39,0.9976727457368934,0.9990291262135922,0.9884602703593801
40,0.996953412601024,0.9980582524271845,0.9894493900428618
41,0.995937883468032,0.9980582524271845,0.9815364325750082
42,0.9932298057800533,0.9970873786407767,0.9670293438839432
43,0.9976304320230187,0.9990291262135922,0.9881305637982196
44,0.998984470867008,1.0,0.9920870425321464
45,0.9953454914737867,1.0,0.9637322782723377
46,0.9974188634536453,0.9980582524271845,0.9930761622156281
47,0.9994076080057547,1.0,0.9953841081437521
48,0.9989421571531333,1.0,0.9917573359709858
49,0.9950069817627893,0.9980582524271845,0.9742828882294757
50,0.9947107857656666,0.9980582524271845,0.9719749423013518
51,0.9957263148986587,0.9980582524271845,0.9798878997692054
52,0.997842000592392,1.0,0.9831849653808111
53,0.99428764862692,0.9990291262135922,0.9620837454665347
54,0.9937375703465493,0.9990291262135922,0.9577975601714475
55,0.993399060635552,0.9970873786407767,0.9683481701285855
56,0.9947530994795413,0.9970873786407767,0.9788987800857237
57,0.996953412601024,0.9980582524271845,0.9894493900428618
58,0.995049295476664,0.9970873786407767,0.9812067260138477
59,0.9908179240891973,0.9970873786407767,0.948236069897791
60,0.9941183937714213,0.9970873786407767,0.9739531816683152
61,0.998476706300512,1.0,0.9881305637982196
62,0.9951339229044133,0.9980582524271845,0.9752720079129574
63,0.9962763931790293,0.9980582524271845,0.9841740850642928
64,0.9911564338001947,0.9951456310679612,0.9640619848334981
65,0.995049295476664,1.0,0.9614243323442137
66,0.9899716498117039,0.996116504854369,0.948236069897791
67,0.997080353742648,0.9980582524271845,0.9904385097263435
68,0.9915795709389413,0.9980582524271845,0.9475766567754699
69,0.9944992171962933,0.9980582524271845,0.9703264094955489
70,0.9960225108957813,0.9980582524271845,0.9821958456973294
71,0.9886599246815893,0.996116504854369,0.9380151665018134
72,0.9969957263148986,0.9980582524271845,0.9897790966040224
73,0.997334236025896,0.9980582524271845,0.9924167490933069
74,0.9944992171962933,0.9980582524271845,0.9703264094955489
75,0.9958955697541573,0.9980582524271845,0.9812067260138477
76,0.9994076080057547,1.0,0.9953841081437521
77,0.9967841577455253,0.9980582524271845,0.9881305637982196
78,0.9965302754622773,0.9980582524271845,0.9861523244312562
79,0.995684001184784,0.9980582524271845,0.9795581932080448
80,0.9972919223120214,0.9980582524271845,0.9920870425321464
81,0.9988998434392586,1.0,0.9914276294098252
82,0.996445648034528,0.9980582524271845,0.985492911308935
83,0.99555706004316,0.9980582524271845,0.9785690735245631
84,0.99619176575128,0.9980582524271845,0.9835146719419716
85,0.9926374137858079,0.9970873786407767,0.9624134520276953
86,0.9943722760546693,0.9980582524271845,0.9693372898120672
87,0.9952608640460373,0.9980582524271845,0.9762611275964391
88,0.9949646680489147,0.9980582524271845,0.9739531816683152
89,0.994795413193416,0.9980582524271845,0.9726343554236729
90,0.9962763931790293,0.9980582524271845,0.9841740850642928
91,0.9946261583379173,0.9980582524271845,0.9713155291790306
92,0.9946261583379173,0.9980582524271845,0.9713155291790306
93,0.9955147463292853,0.9980582524271845,0.9782393669634025
94,0.9958532560402826,0.9980582524271845,0.9808770194526871
95,0.99555706004316,0.9980582524271845,0.9785690735245631
96,0.9958955697541573,0.9980582524271845,0.9812067260138477
97,0.9954724326154106,0.9980582524271845,0.977909660402242
98,0.9953878051876613,0.9980582524271845,0.9772502472799208
99,0.9953878051876613,0.9980582524271845,0.9772502472799208
