epoch,TRA,DET,LNK
0,0.9889690771085657,0.9927222659323367,0.9636972875609239
1,0.9980904395243053,0.9996066089693155,0.9878814367450731
2,0.9982051844138763,0.9997246262785209,0.9879741470650562
3,0.9982051844138763,0.9996066089693155,0.9887688069506251
4,0.9986453252589467,0.9995279307631786,0.9927023733841915
5,0.9982839644873129,0.9994492525570416,0.99043759271032
6,0.9987703458102701,0.9995279307631786,0.9936692095783005
7,0.9985117416561626,0.9993705743509048,0.9927288620470439
8,0.9982377240094262,0.9994885916601102,0.989815109133291
9,0.9985870965090152,0.9994099134539732,0.9930467260012714
10,0.9982086096344605,0.9992525570416995,0.9911792752701843
11,0.9975972077601798,0.9988985051140834,0.9888350286077559
12,0.9979397298186004,0.9992918961447679,0.9888350286077559
13,0.9977684687893901,0.9991738788355625,0.9883052553507099
14,0.9977462048555927,0.9991345397324941,0.9883979656706929
15,0.9963418644160684,0.9985837922895358,0.9812460267005721
16,0.9968950375404176,0.9985837922895358,0.9855239457512185
17,0.9967888557023072,0.9987018095987411,0.9839081373172283
18,0.9974995889735299,0.9990952006294257,0.9867556685738504
19,0.9961397764016002,0.9981117230527145,0.9828618351345624
20,0.9969721050035623,0.998780487804878,0.9847955075227802
21,0.9968710609963282,0.998780487804878,0.9840140919686374
22,0.997934591987724,0.9993312352478364,0.9885304089849545
23,0.9959599523209295,0.9980330448465775,0.9820009535918627
24,0.9958948731298296,0.9986231313926043,0.9775243695698241
25,0.9972255713267935,0.9991738788355625,0.9841068022886205
26,0.9947936647120075,0.9974429583005507,0.9769548633184997
27,0.9975081520249904,0.9992525570416995,0.9857623437168892
28,0.9976759878336164,0.9992525570416995,0.9870602881966518
29,0.9968573601139913,0.998780487804878,0.9839081373172283
30,0.9969241519153833,0.9987411487018096,0.984689552871371
31,0.9970097824299885,0.998780487804878,0.9850868828141556
32,0.9967254891214994,0.9989378442171518,0.9818287772833227
33,0.9967391900038363,0.9988985051140834,0.9821996185632549
34,0.9965114128349866,0.9985837922895358,0.982557215511761
35,0.9962990491587658,0.9983870967741936,0.9822393515575334
36,0.9967220639009152,0.9987018095987411,0.9833916083916084
37,0.996451471474763,0.9989771833202203,0.9794447976266158
38,0.9971622047459856,0.998780487804878,0.9862656283110829
39,0.9961980051515318,0.998347757671125,0.9817228226319136
40,0.9973454540472406,0.9988198269079465,0.9874178851451578
41,0.9959736532032663,0.9986624704956727,0.977868722186904
42,0.9955146736449827,0.9979543666404406,0.9790872006781097
43,0.9957904039020113,0.9981117230527145,0.9801599915236279
44,0.9973728558119143,0.9990165224232888,0.9863053613053613
45,0.9968316709596098,0.9988985051140834,0.982914812460267
46,0.9961140872472187,0.9990952006294257,0.9760410044500953
47,0.9966689729818601,0.998780487804878,0.9824512608603517
48,0.9959068614018742,0.9984657749803304,0.9786766264038991
49,0.9952475064394147,0.9980330448465775,0.9764913117185845
50,0.9961740286074423,0.9984657749803304,0.9807427421063785
51,0.9956722337918562,0.9985444531864673,0.9763323797414707
52,0.9951755768071464,0.9979937057435091,0.9761999364272091
53,0.995886310078369,0.9983870967741936,0.9790474676838313
54,0.9967117882391626,0.9990165224232888,0.9811930493748675
55,0.9967974187537677,0.9988198269079465,0.98317969908879
56,0.9964771606291445,0.9988198269079465,0.9807030091121001
57,0.9953142982408067,0.9983084185680566,0.9751536342445434
58,0.9965508028717049,0.998859166011015,0.9810076287349014
59,0.9951481750424728,0.9980723839496459,0.9754582538673447
60,0.9959308379459637,0.9985051140833989,0.9785971604153423
61,0.9939818874335508,0.9974822974036192,0.9704121635939817
62,0.9966227325039733,0.9988198269079465,0.9818287772833227
63,0.9955455006302406,0.9982690794649882,0.9772065056155965
64,0.9958332191593139,0.9985051140833989,0.9778422335240518
65,0.9968076944155203,0.9990558615263572,0.9816698453062089
66,0.9961654655559818,0.998859166011015,0.9780276541640178
